local_government,tax,fy_total,fy
ABINGDON,INC,283319.65,2012
ABINGDON,INC,311348.44,2013
ABINGDON,INC,316404.59,2014
ABINGDON,INC,340397.22,2015
ABINGDON,INC,336421.91,2016
ABINGDON,INC,314307.62,2017
ABINGDON,INC,300032.22,2018
ABINGDON,INC,343153.99,2019
ABINGDON,INC,326452.05,2020
ABINGDON,INC,431142.87,2021
ABINGDON,INC,471506.92,2022
ABINGDON,INC,459903.96,2023
ABINGDON,INC,491666.94,2024
ABINGDON,INC,524449.83,2025
ADAMS COUNTY GOVERNMENT,INC,1692831.58,2012
ADAMS COUNTY GOVERNMENT,INC,1860304.77,2013
ADAMS COUNTY GOVERNMENT,INC,1890516.04,2014
ADAMS COUNTY GOVERNMENT,INC,2033872.79,2015
ADAMS COUNTY GOVERNMENT,INC,2010120.82,2016
ADAMS COUNTY GOVERNMENT,INC,1877984.99,2017
ADAMS COUNTY GOVERNMENT,INC,1792688.82,2018
ADAMS COUNTY GOVERNMENT,INC,2050342.07,2019
ADAMS COUNTY GOVERNMENT,INC,1950548.63,2020
ADAMS COUNTY GOVERNMENT,INC,2576075.53,2021
ADAMS COUNTY GOVERNMENT,INC,3038475.92,2022
ADAMS COUNTY GOVERNMENT,INC,3084516.66,2023
ADAMS COUNTY GOVERNMENT,INC,3297546.88,2024
ADAMS COUNTY GOVERNMENT,INC,3517419.67,2025
ADDIEVILLE,INC,21510.9,2012
ADDIEVILLE,INC,23639.27,2013
ADDIEVILLE,INC,24023.36,2014
ADDIEVILLE,INC,25845.42,2015
ADDIEVILLE,INC,25543.5,2016
ADDIEVILLE,INC,23864.51,2017
ADDIEVILLE,INC,22780.32,2018
ADDIEVILLE,INC,26054.33,2019
ADDIEVILLE,INC,24785.93,2020
ADDIEVILLE,INC,32734.58,2021
ADDIEVILLE,INC,39379.1,2022
ADDIEVILLE,INC,40365.05,2023
ADDIEVILLE,INC,43152.85,2024
ADDIEVILLE,INC,46030.2,2025
ADDISON,INC,3153475.71,2012
ADDISON,INC,3465452.5,2013
ADDISON,INC,3521731.73,2014
ADDISON,INC,3788781.45,2015
ADDISON,INC,3744534.57,2016
ADDISON,INC,3498387.59,2017
ADDISON,INC,3339494.25,2018
ADDISON,INC,3819461.74,2019
ADDISON,INC,3633562.29,2020
ADDISON,INC,4798819.55,2021
ADDISON,INC,5540627.76,2022
ADDISON,INC,5564038.85,2023
ADDISON,INC,5948315.68,2024
ADDISON,INC,6344933.84,2025
ADELINE,INC,7256.11,2012
ADELINE,INC,7974.04,2013
ADELINE,INC,8103.61,2014
ADELINE,INC,8717.94,2015
ADELINE,INC,8615.99,2016
ADELINE,INC,8049.44,2017
ADELINE,INC,7684.09,2018
ADELINE,INC,8787.95,2019
ADELINE,INC,8359.91,2020
ADELINE,INC,11040.87,2021
ADELINE,INC,12323.65,2022
ADELINE,INC,12156.43,2023
ADELINE,INC,12996.02,2024
ADELINE,INC,13861.86,2025
ALBANY,INC,76058.13,2012
ALBANY,INC,83582.81,2013
ALBANY,INC,84940.32,2014
ALBANY,INC,91381.13,2015
ALBANY,INC,90313.58,2016
ALBANY,INC,84377.09,2017
ALBANY,INC,80544.89,2018
ALBANY,INC,92121.58,2019
ALBANY,INC,87637.87,2020
ALBANY,INC,115742.71,2021
ALBANY,INC,133931.65,2022
ALBANY,INC,134651.33,2023
ALBANY,INC,143950.95,2024
ALBANY,INC,153549.21,2025
ALBERS,INC,101582.08,2012
ALBERS,INC,111631.42,2013
ALBERS,INC,113444.17,2014
ALBERS,INC,122046.81,2015
ALBERS,INC,120621.37,2016
ALBERS,INC,112692.49,2017
ALBERS,INC,107573.92,2018
ALBERS,INC,123034.69,2019
ALBERS,INC,117046.39,2020
ALBERS,INC,154582.33,2021
ALBERS,INC,175502.44,2022
ALBERS,INC,174704.88,2023
ALBERS,INC,186770.78,2024
ALBERS,INC,199224.13,2025
ALBION,INC,169701.77,2012
ALBION,INC,186490.36,2013
ALBION,INC,189518.85,2014
ALBION,INC,203889.75,2015
ALBION,INC,201508.71,2016
ALBION,INC,188262.56,2017
ALBION,INC,179711.72,2018
ALBION,INC,205540.76,2019
ALBION,INC,195536.65,2020
ALBION,INC,258243.82,2021
ALBION,INC,303257.43,2022
ALBION,INC,307173.73,2023
ALBION,INC,328388.48,2024
ALBION,INC,350284.15,2025
ALEDO,INC,310720.87,2012
ALEDO,INC,341460.83,2013
ALEDO,INC,347006.22,2014
ALEDO,INC,373319.67,2015
ALEDO,INC,368959.81,2016
ALEDO,INC,344705.95,2017
ALEDO,INC,329050.03,2018
ALEDO,INC,376342.29,2019
ALEDO,INC,358024.94,2020
ALEDO,INC,472840.94,2021
ALEDO,INC,557731.49,2022
ALEDO,INC,566190.94,2023
ALEDO,INC,605294.55,2024
ALEDO,INC,645654.5,2025
ALEXANDER COUNTY GOVERNMENT,INC,303208.48,2012
ALEXANDER COUNTY GOVERNMENT,INC,333205.92,2013
ALEXANDER COUNTY GOVERNMENT,INC,338617.54,2014
ALEXANDER COUNTY GOVERNMENT,INC,364293.69,2015
ALEXANDER COUNTY GOVERNMENT,INC,360039.37,2016
ALEXANDER COUNTY GOVERNMENT,INC,336372.74,2017
ALEXANDER COUNTY GOVERNMENT,INC,321094.92,2018
ALEXANDER COUNTY GOVERNMENT,INC,367244.22,2019
ALEXANDER COUNTY GOVERNMENT,INC,349369.94,2020
ALEXANDER COUNTY GOVERNMENT,INC,461410.35,2021
ALEXANDER COUNTY GOVERNMENT,INC,419163.68,2022
ALEXANDER COUNTY GOVERNMENT,INC,362187.2,2023
ALEXANDER COUNTY GOVERNMENT,INC,387201.45,2024
ALEXANDER COUNTY GOVERNMENT,INC,413019.98,2025
ALEXIS,INC,70936.7,2012
ALEXIS,INC,77954.65,2013
ALEXIS,INC,79220.76,2014
ALEXIS,INC,85227.94,2015
ALEXIS,INC,84232.5,2016
ALEXIS,INC,78695.29,2017
ALEXIS,INC,75121.05,2018
ALEXIS,INC,85917.73,2019
ALEXIS,INC,81736.21,2020
ALEXIS,INC,107948.36,2021
ALEXIS,INC,123600.23,2022
ALEXIS,INC,123587.12,2023
ALEXIS,INC,132122.6,2024
ALEXIS,INC,140931.53,2025
ALGONQUIN,INC,2564812.94,2012
ALGONQUIN,INC,2818552.25,2013
ALGONQUIN,INC,2864325.6,2014
ALGONQUIN,INC,3081525.52,2015
ALGONQUIN,INC,3045538.17,2016
ALGONQUIN,INC,2845340.06,2017
ALGONQUIN,INC,2716107.5,2018
ALGONQUIN,INC,3106478.97,2019
ALGONQUIN,INC,2955282.14,2020
ALGONQUIN,INC,3903019.81,2021
ALGONQUIN,INC,4574215.54,2022
ALGONQUIN,INC,4628645.99,2023
ALGONQUIN,INC,4948320.51,2024
ALGONQUIN,INC,5278261.85,2025
ALHAMBRA,INC,58132.03,2012
ALHAMBRA,INC,63883.04,2013
ALHAMBRA,INC,64920.49,2014
ALHAMBRA,INC,69843.47,2015
ALHAMBRA,INC,69027.69,2016
ALHAMBRA,INC,64490.2,2017
ALHAMBRA,INC,61561.33,2018
ALHAMBRA,INC,70408.79,2019
ALHAMBRA,INC,66981.88,2020
ALHAMBRA,INC,88462.51,2021
ALHAMBRA,INC,98435.09,2022
ALHAMBRA,INC,96936.02,2023
ALHAMBRA,INC,103630.84,2024
ALHAMBRA,INC,110540.98,2025
ALLENDALE,INC,40547.62,2012
ALLENDALE,INC,44558.77,2013
ALLENDALE,INC,45282.3,2014
ALLENDALE,INC,48716.49,2015
ALLENDALE,INC,48147.4,2016
ALLENDALE,INC,44982.23,2017
